Sentence,Label
"연구소기업에서 자체적으로 개발한 무선네트워크 기술을 이용하여 '초저전력 스마트 빌딩 화재 감지 시스템'과 '초저전력 울타리 침입 감지 시스템' 테스트베드 구축과 시제품 제작에 일조하였습니다.",성공경험
"고객들의 니즈를 정확히 파악할 수 있는 능력을 길렀으며, 지원받는 기업들의 각종 민원, 불만사항을 효과적으로 대응하며 처리할 수 있는 방법을 배웠습니다.",성공경험
"‘저소득층 중학생을 위한 기초코딩교육 사업’을 기획하고 진행함으로써 동아리의 존재 이유를 확실히 하는 계기를 마련했습니다.",성공경험
"이 결과 마지막 회의에서는 회원의 70% 이상이 참여하는 성과를 얻었습니다.",성공경험
"2020년에는 Young creative award에 도전하여 FINALIST를 수상했던 경험도 있습니다.",성공경험
"학창 시절, 교내 핸드볼 대회에서 팀 주장을 맡아 대회 4위와 최소 실점팀이라는 평가를 받았던 경험이 있습니다.",성공경험
"교수님께서 아이디어가 엉뚱하고 재밌다고 해주셨고 성적에서 A 를 받을 수 있었습니다.",성공경험
"이후로 2학년 때부터는 성적이 향상되어 4점대의 학점을 만들었고 4학년 때까지 유지할 수 있었습니다.",성공경험
"인턴으로 근무할 때 성능 테스트 업무를 다른 직원분들의 협력을 끌어내어 원활하게 마무리했던 경험이 있습니다.",성공경험
"이 경험을 시작으로 자연스럽게 직원분들과 서로 돕는 팀워크가 형성되었고, 업무들을 효율적으로 수행할 수 있었습니다.",성공경험
"이러한 노력 끝에 타사제품의 회로를 분석하고 회로를 스케치하는 것으로 벤치마킹 업무를 성공적으로 마무리하였습니다.",성공경험
"설계과제를 성공적으로 마무리한 후 ‘공학적인 문제해결’이라는 특징으로 우수작에 선정되는 결실을 얻었습니다.",성공경험
"직접 중견기업들과 일을 해보면서 구축할 때의 필요한 인프라나 데이터, 등을모아 사람들의 요구사항등을 정리하며 계속해서 문제점을 찾았습니다.",성공경험
"동아리 활동으로 참여한 위안부 영화 귀향의 크라우드펀딩에서 목표를 달성하며 인생에서 가장 큰 성취감을 느꼈습니다.",성공경험
"그 결과 550개의 판매, 3개의 재고 그리고 기부를 통한 추가모금액으로 목표했던 50만 원보다 많은 70만 원의 모금을 이뤘습니다.",성공경험
"결국 모두 A0 이상의 성적을 얻으며 가장 불리한 조건과 낮은 기대감을 가진 팀이 큰 박수를 받을 수 있었습니다.",성공경험
"공공데이터를 분석하는 공모전에서는 크롤링을 통해 웹에서 3천개의 데이터를 수집하고 빅카인즈와 R로 100건의 뉴스를 분석했고 연관어 분석과 가중치 5이상의 관계도 생성으로 데이터를 정교화 및 시각화 함으로써 우수상을 받았습니다.",성공경험
"학생회 시절 신입생을 위한 지도제작 당시 3개년도 데이터로 현황을 분석하고 SNS분석과 학과생 150명 대상의 설문조사로 트렌드와 선호도를 파악하며 작년대비 10%상승한 만족도를 얻은 경험도 있습니다.",성공경험
"저는 교환학생 파견 당시 철저한 계획을 통해 한 달에 교통비와 통신비 포함 70만원이라는 한정된 예산으로 교내외 프로그램에 참여하면서도 유럽의 10개국을 여행한 적이 있습니다.",성공경험
"보고를 전달받는 임원분들의 경우 바쁘신 분들이기에 기획안을 한 눈에 들어오게 정리하는 법이나, 요점만 요약해서 빠르고 간결하게 전달하는 역량을 키울 수 있었습니다.",성공경험
"최종적으로 지원 대상 기업으로 선정되어 5000만원 상당의 자금을 유치받을 수 있었습니다.",성공경험
"이후 공모전 우승 상금과 시드머니 유치 성공 등으로 인해 재정난은 점차 해결되었고, 회사도 성장하여 모두가 윈-윈인 상황이 되었습니다.",성공경험
"학기 중 시간을 내어 중학생들의 수학 공부를 책임진다는 것이 힘들기도 했지만, 위의 세 가지를 꾸준히 실천한 결과 중간고사와 기말고사를 통해 성적이 향상된 것을 확인할 수 있었습니다.",성공경험
"그 결과, 학우들로부터 큰 호응을 얻으며 성공적으로 행사를 마무리할 수 있었고 부회장 역할을 통해 책임감의 중요성 뿐만 아니라 서로 소통하고 협업을 하지 않는다면 목표를 이루기 힘들다는 것을 알게 되었습니다.",성공경험
"적극적으로 배우고자 노력한 결과 GMP와 validation 등 전공을 통해 배울 수 없었던 부분을 공부할 수 있었고 프로젝트 발표를 자신감 있게 해낼 수 있었습니다.",성공경험
"꾸준히 스터디를 진행한 결과 우수 스터디 팀으로 선정되었고, A+라는 좋은 성적을 받을 수 있었습니다.",성공경험
"이러한 발상과 시도가 높은 평가를 받아서 해당 레포트로 수업 내 2등을 하였고, 이러한 탐구적인 자세가 다른 사람들로부터 인정받는 경험을 하였습니다.",성공경험
"서포터즈에서 외국인 학생 50명과 함께 강화도를 다녀오는 행사를 기획했고 통역업무를 담당하였습니다.",성공경험
"해당 센서의 캘리브레이션을 거쳐 테스트해본 결과 진동문제를 완벽하게 극복할 수 있었습니다.",성공경험
"저는 대학 시절 종합설계 팀 프로젝트를 진행하면서 주어진 120만원의 예산에서 최대의 효율을 이끌어내 교내 캡스톤 디자인 대회에서 입상한 경험이 있습니다.",성공경험
"결과적으로 방패에 들어가는 소재가 크게 줄어 예산에 맞출 수 있었고, 무게 자체도 감소하여 휴대성과 실용성 측면을 보완하며 성공적으로 프로젝트를 마무리할 수 있었습니다.",성공경험
"교내 사회봉사단에서 단장으로 활동하며 전학기 대비 봉사참여인원을 30%, 봉사참여율을 2배 증가시킨 경험이 있습니다.",성공경험
"이를 통해 전 학기 대비 봉사참여 인원 30%, 봉사참여율 2배라는 성과를 이뤄낼 수 있었습니다.",성공경험
"주어진 조건에서 최대의 효율을 이끌어내며 A라는 성적을 받을 수 있었습니다.",성공경험
"소재 선정부터 변수 설정과 변수에 따른 공정 수율 변화를 분석하는 것까지 팀원들과의 긴밀한 소통과 협업 덕분에 성공적으로 팀 프로젝트를 수행할 수 있었습니다.",성공경험
"최종으로 더 정확하고 실제 이용 가능한 근전도센서의 구축을 통해 근피로도의 측정을 가능하게 하였습니다.",성공경험
"입자성 물질에서의 힘의 거동 분석 연구를 하였고 입자성 물질의 유체화를 통한 접목의 아이디어를 통해 논문을 작성한 경험이 있습니다.",성공경험
"최종적으로 젤라틴을 이용한 살상력 비교를 실제 실험과 시뮬레이션을 통해 비교하는 논문은 제출하였고 모두가 만족하는 결과를 갖게 되었습니다.",성공경험
"이와 같은 노력으로 0브랜드 미션에서 최우수 콘텐츠에 선정되어 사내 홍보영상으로 사용되었으며 이는 제가 우수활동자로 수료하는 데 큰 영향을 끼쳤습니다.",성공경험
"많은 팀원들의 의견이 반영된 것에 비해 영상은 난잡하지 않고 자연스럽게 녹아들었고 준수한 퀄리티라는 점이 긍정적으로 평가받아 최우수 영상으로 선정되어 공식 SNS에 홍보영상으로 게시되었습니다.",성공경험
"프레젠테이션에서 멘토 분들의 긍정적인 피드백을 받을 수 있었습니다.",성공경험
"저는 여러 번의 행사, 이벤트를 운영하며 많게는 70명의 스탭까지도 하루 12시간이 넘는 교육과 운영을 해 본 경험이 있습니다.",성공경험
"당시 운영 파트를 먼저 크게 나눈 뒤 각 파트가 진행되는 장소, 참여인원, 기후, 시프트 타임 등을 고려해 필요 전담 인원수를 구상하여 알맞은 인원수를 투입했습니다.",성공경험
"두번째로는, 각 파트마다 운영 목표, 운영 방식, 행동 요령, 운영 및 교대 스케줄 등의 내용이 담긴 자료를 별도로 제작 배부하여 많은 스탭을 매우 효율적으로 운영했습니다.",성공경험
"운영 시뮬레이션을 해보고, 투입되는 스탭의 교육과 운영을 위해 항상 별도의 교육 자료를 제작해 배부했던 것이 매 운영마다 큰 도움이 되었습니다.",성공경험
"금융권 홍보대사를 하며 약 300명의 지역민들에게 가입 시, 우대금리 제공의 이점을 강조하여 금융상품을 홍보하였고, 이에 해당 상품 가입률이 상승하는 효과를 거둔 경험이 있습니다.",성공경험
"대학시절, 퀴즈를 통해 학생들의 자발적인 관심과 참여를 유도하였고, 그 결과 다음 기수 지원율이 2배 가까이 오르는 성공적인 결과를 거두었습니다.",성공경험
"학부시절, 이들 산업의 미래 방향성을 토대로 구체적인 포트폴리오를 작성하였고, 결과적으로 모의투자 ‘1등’이라는 성과를 가져오게 되었습니다.",성공경험
"백화점에서 아르바이트를 했던 대학교 2학년 때 새로운 전략으로 위기를 극복한 경험이 있습니다.",성공경험
"질문이 많은 고객의 성향에 맞춰 판매대 뒤가 아닌 앞으로 나가 친근감과 신뢰감을 높이며 제품의 장점을 강조하여, 재고의 95% 판매라는 매출 성과를 낼 수 있었습니다.",성공경험
"또한 홀로 방문했던 업체 10곳 중 4곳이 행사에 참가하는 결과까지 달성하여 매출에도 직접 기여하는 뜻 깊은 경험까지 할 수 있었습니다.",성공경험
"저는 이러한 과정을 통하여 의견불일치 갈등을 해소, 나아가 서로 다른 시각의 활용으로 우수한 과제를 완성, 교수님에게 높은 점수를 부여받아 모든 구성원들의 만족을 이끌어낸 경험이 있습니다.",성공경험
"이 기간에 저는 대학재학 시절 가장 높은 학점을 받았으며 인간관계에 대한 중요성을 깨달을 수 있었으며 이후 의미있는 인간관계를 만들기 위해 노력하고 있습니다.",성공경험
"이후 일의 중요도와 남은 시간을 고려하여 조원들에게 임무를 배분하였고 정해진 기한 내에 과제를 완성할 수 있었습니다.",성공경험
"그 결과, 여러 기기에서 하나의 통신망을 사용하면 충돌이 발생하기 때문이라는 것을 알아냈고, 여러 통신망을 쓸 수 있는 보드로 교체한 뒤 통신망을 따로 구축하여 문제를 해결했습니다.",성공경험
"그 결과, 기하변환 추정함수의 변환유형 중에서 DoF가 가장 높은 원근 투영 방식을 사용하고, 추정시행횟수도 더 늘려 이를 해결하였습니다.",성공경험
"그리고 영상들이 이어지는 부분이 조금 부자연스럽다는 것을 발견하였고, 이를 보완하기 위해 동영상을 찍어서 프레임을 추출하고 이를 이어 붙이면 좀 더 부드러운 영상을 얻을 수 있을 것이라는 생각을 했고, 추가적으로 필터링을 통해 이어지는 부분을 자연스럽게 하여 더 나은 결과물을 얻게 되었습니다.",성공경험
"노래방을 데려가서 친목을 도모한 결과 좋은 결과를 도출했습니다.",성공경험
"2013년 대학교 3학년 때 마을기업이라는 사회적 기업을 창업하기 위해 많은 사람들과 협업을 하고 사업 계획서를 제출하고 서울 시청에서 발표도 하고 사업 지원금도 받았던 것이 가장 기억에 남는 경험입니다.",성공경험
"금융기관 청년 인턴 활동 당시 작지만, 창의적인 사고로 업무의 효율과 고객, 직원분들의 편의성을 증대시킨 경험이 있습니다.",성공경험
"ㅇㅇ공사 인턴 당시, 팀에서 제출한 사내 제안제도의 PPT 자료 제작을 진행하여 심사에서 3등급을 달성한 경험이 있습니다.",성공경험
"ㅇㅇ공사 인턴 당시 ‘청년인턴 업무혁신 아이디어 경진대회’에서 재무팀 인턴과 함께 ‘다시 찾고 싶은 휴게소 만들기’를 주제로 한 발표로 최우수상을 받은 경험이 있습니다.",성공경험
"동영상 콘텐츠를 통한 홍보는 포털사이트 동일 키워드 상위 노출이라는 성과를 얻을 수 있었고, 단골 고객 위주의 고객층에서 신규 고객의 유입이라는 효과도 함께 가져올 수 있었습니다.",성공경험
"이후 XX에 참여하여 XX을 제안하였고 우수상을 받게 되었습니다.",성공경험
"동아리 활동으로 참여한 위안부영화 귀향의 크라우드펀딩에서 위기를 극복하고 성과를 낸 경험이 있습니다.",성공경험
"그 결과 550개의 판매, 3개의 재고 그리고 기부를 통한 추가모금액으로 목표했던 50만원보다 많은 70만원의 모금을 이뤘습니다.",성공경험
"점차 관심사가 공유되며 그 시간은 길어졌고 이는 팀워크로 이어졌습니다. 발표 1주일 전부터는 늦게까지 연습할 정도로 열정이 강했고 결국 모두 A0 이상의 성적을 얻었습니다.",성공경험
"학생회시절 신입생을 위한 지도제작 당시 3개년도데이터로 현황을 분석하고 SNS분석과 학과생 150명 대상의 설문조사로 트렌드와 선호도를 파악하며 작년대비 10% 상승한 만족도를 얻은 경험도 있습니다.",성공경험
"공모전에서는 크롤링을 통한 3천개의 데이터수집, 빅카인즈와 R를 통한 100건의 뉴스분석 및 연관어추출과 관계도생성으로 데이터를 시각화하며 우수상을 받았습니다.",성공경험
"간호학과로 편입한 후 처음으로 '인체구조와 기능'이라는 수업을 듣게 되었습니다. 처음에는 어수선했지만 점차 친구들도 하나,둘씩 교수님께 질문을 하면서 수업참여율이 높아지게 되었고 그 결과 다른반보다 높은 평균점수와 함께 A+이라는 성적을 받을 수 있었습니다.",성공경험
"청주시 파랑새 지역아동센터에서 봉사활동을 하며 '미술치료수업에서 배운 신문지 투호활동을 진행하였습니다. 그 결과, 서로 서먹하였던 친구들 간에 팀을 이루어 활동하여 의기투합이라는 결과를 이뤄낼 수 있었습니다.",성공경험
"대학생활 중 PBL 조별과제를 하면서 겪었던 친구와의 문제해결방법 차이를 극복하고, 서로의 관점을 수용하여 조별평가에서 ‘우수’라는 성과로 마무리할 수 있었습니다.",성공경험
"첫 대학 정기시험에서 석차 1등을 차지했습니다.",성공경험
"매 학기 장학증서 수여와 교내 성적우수장학생으로 선발되는 결과도 만들어냈습니다.",성공경험
"어린이 음악/무용 콩쿠르 대회에서 꽃다발을 판매하여, 40%의 마진율을 달성하며 높은 수익을 창출했습니다.",성공경험
"인플루언서 마케팅 회사에서 근무하며 제품 '샤워가운'의 홍보를 진행했고, 온라인 채널에 대한 전략적 이해와 홍보로 텀블벅에서 200% 이상의 펀딩을 달성하며 완판을 기록했습니다.",성공경험
"원활한 연구수행을 위해 연구 관련 서류들을 활용도 및 시간별로 나누어 관리를 하여 필요한 서류를 빠르게 찾을 수 있도록 도모하였으며, 이와 같은 업무수행은 참여 연구인 빅데이터 분석 연구에서 자료를 정리 및 활용하는데 도움을 주어 보다 빠르고 정확한 데이터 분석을 할 수 있도록 도움을 주었습니다.",성공경험
"공공기관에서 공사감독 업무를 수행하며, 현재 처해있는 환경을 고려하여 자료를 수집하고 대책을 세워 조기준공을 이룬 경험이 있습니다.",성공경험
"그 결과 만족할만한 배수로 설치로 탐방로를 복구할 수 있었고 신속한 진행을 통해 예상했던 공기보다 열흘을 앞당겨 조기준공할 수 있었습니다.",성공경험
"그 결과 연구 결과를 기간 내에 성공적으로 구축할 수 있었으며 연구소장님께서도 저의 주체적인 문제개선능력을 인정해주셨습니다.",성공경험
"그 결과 3개월간 카페 홍보글 조회수가 200%씩 증가하였고, 고객유치 및 홍보예산절감이라는 효과를 볼 수 있었습니다.",성공경험
"그 결과 비용 10% 절감, 공기 5% 단축을 실현할 수 있었습니다.",성공경험
"20명의 학생과 직접 소통하여 학생들의 요구에 맞게 상담프로그램을 개설해 자습실 출석률을 2배 이상 끌어올린 경험이 있습니다.",성공경험
"결과적으로 2개월 후에는 20% 수준이었던 출석률이 약 50%까지 향상되었고, 학생들도 진로, 학습방법에 대한 고민에서 벗어나 온전히 공부에 집중할 수 있는 환경이 만들어지게 되었습니다.",성공경험
"어떤 일을 기획하고 진행해본 경험이 없었지만, 감독관이라는 역할에 책임감을 느끼고 도전적인 자세로 임했기 때문에 성공적으로 문제점을 개선할 수 있었습니다.",성공경험
"원활한 의사소통과 고객 중심 마인드로 고객의 눈높이에 맞춰 다가감으로써 관할 지사의 요금수금률을 20% 이상 높였습니다.",성공경험
"조사 결과를 바탕으로 저는 팀원들이 이해하기 쉽게 도표에 정리하고 수치화 작업을 하여  정량적인 데이터를 팀원들에게 제공했고, 원활하게 의견 조율을 할 수 있었습니다.",성공경험
"쉬운 길 대신 올바른 방법을 택하여 소비자의 권리를 보장했습니다. 또한, 뒷광고 논란이 발생했을 때, 유튜버와 광고 제품에 대한 긍정적인 이미지를 높일 수 있었습니다.",성공경험
"그 결과 '전화로 이야기하니 답답한 게 없어졌다'라는 점주님들의 피드백을 받았으며, 근무 당시 진행한 프로모션 제품의 매출 250% 상승에 이바지할 수 있었습니다.",성공경험
"2018 삼성 노트북 마케팅 공모전 출전 당시 총학생회와 협업하여 하루 550명이 참여한 오프라인 프로모션을 성공적으로 운영한 경험이 있습니다.",성공경험
"공모전 참가 의무화는 학회원들의 자발적 참여와 몰입도를 증진하는 방식이 되어 각각의 구성원들이 개별 역량을 발전시킨 경험이 되었습니다.",성공경험
"그 결과 방학 기간과 이어진 학기에는 3개의 팀이 대회에 입상하는 성과도 창출했습니다.",성공경험
"반장이 되어 흐트러진 교육 분위기를 잡기 위해서 서로가 두터운 관계를 형성하기 위해 노력했고, 함께 어울릴 수 있는 활동과 대화를 이끌어 함께하는 즐거움이 교육에 열정으로 이어졌고, 모두가 수료증과 좋은 친구라는 것을 얻어 갈 수 있었습니다.",성공경험
"매일 복습하며 지식들을 상기하였고 말미에 이뤄진 경진대회에서는 장려상을 수상하는 쾌거를 이루었습니다.",성공경험
"매니저가 되어 아르바이트와 사장님을 연결하고 매장 및 직원을 관리하여 최고 매출을 기록한 경험이 있습니다.",성공경험
"그 결과 B2보다 더 높은 레벨인 C1까지 취득했고 해외봉사에서 스페인어 동시통역을 맡음으로써 목표를 성취했습니다.",성공경험
"이러한 노력 끝에 4번의 행사를 모두 성공적으로 마무리했으며 능동적 참여와 다양한 주제라는 목표를 달성함과 동시에, 다수의 참가자와 행사의 파급력까지 놓치지 않았습니다.",성공경험
"이러한 노력 끝에 단 한 명의 중도 포기자 없이 교육이 마무리되었고 저희는 우수팀으로 선발되었습니다.",성공경험
"그 결과 2번의 창의력 캠프 최우수상을 받았습니다.",성공경험
"창의력 캠프에서 부팀장 역할을 통해 팀원들의 성향과 프로젝트의 특징을 파악해 최우수상을 받았습니다.",성공경험
"기상 미션에서 팀원들은 제시간에 맞춰 일어나기로 했고 다음날 알람에 맞춰 저는 일어나서 팀원들을 깨우고 상태 체크를 해서 아침 미션에서 1등을 했습니다.",성공경험
"그 결과 11월 기사에서는 피드백에 대한 비판이 없었고 저희 팀이 기사 실력이 향상됐다는 평을 들었습니다.",성공경험
"국제의료마케팅 병원 포지셔닝에서 해결책 제시를 통해 최종 발표에서 1등을 달성했습니다.",성공경험
"창의력 캠프에서 정교한 시뮬레이션을 통해 최우수상을 수상한 경험이 있습니다.",성공경험
"'우리 연합회는 비가 오는 상황을 역으로 이용하여, 유명 연예인의 물쇼를 모델링 하여 공연은 통상적인 행사들보다 더욱 많은 인파를 이루었으며, 사고 없이 성황리에 종료되었습니다.",성공경험
"기업 프로젝트를 담당하면서 실패기업과의 관계 형성 및 의사소통에 과정에서 갈등을 슬기롭게 해결하며 문제를 극복한 경험이 있습니다.",성공경험
"실패사례기업은 제외한 성공기업들의 스토리텔링을 체크한 후 업무적으로 공유하는 전략을 구축하고 배포하였습니다.",성공경험
"비록 협업에 실패한 경험이었지만 홍보대사 수료 후 떠난 캐나다 어학연수 생활과 LH 인턴 업무 등 다양한 조직 생활을 성공적으로 마무리 짓는데 큰 도움이 될 수 있었습니다.",성공경험
"또한, 건강 관리 안드로이드 애플리케이션 개발 프로젝트를 진행했습니다.",성공경험
"폭포수 모델 단계에 맞춰 약국 관리 시스템을 개발하는 팀 프로젝트를 한 경험이 있습니다.",성공경험
"저는 실제로 어쿠스틱 공연 동아리에서 팀원 간의 존중과 배려로 공연을 성공적으로 마무리한 경험이 있습니다.",성공경험
"디지털 전환의 목적에는 편리함 및 효율성 등이 있습니다. 전 운동량 분석과 운동 커뮤니티의 기능을 가진 애플리케이션 개발로, 편리함을 이끈 경험이 있습니다.",성공경험
"HTML과 CSS를 기본적으로 배운 다음 JavaScript 프레임워크를 이용하는 프로젝트를 만들어보았습니다.",성공경험
"저는 학부시절 컴퓨터 공학적 이론적 지식들을 꼼꼼하게 공부하였었고 주요 전공과목들 성적 대부분을 ‘A+’ 혹은 ‘A’를 받았습니다.",성공경험
"저는 신중한 성격 탓에 처음 하는 일에 대해서 시간이 오래 걸리는 단점이 있습니다. 이를 개선하기 위해 남들보다 두 배, 세배 더 노력하여 꾸준한 성적 상승으로 4.5 만점까지 이루어낸 경험이 있습니다.",성공경험
"그 결과 저의 학점은 점차 올라 4점대를 넘고 4.5 만점을 받고 학업우수장학금을 받으며 목표를 이루었습니다.",성공경험
"아쉽게 대회 입상에는 실패하였지만, 해당 과제를 통해 졸업논문 캡스톤디자인에서 A+의 우수한 성적을 받았습니다.",성공경험
"학원강사, 빵집, 백화점 알바를 하면서 다양한 학부모, 고객님들을 만나뵈면서 소비자들이 필요로 하는 니즈를 충족시키는 법 또한 습득했습니다.",성공경험
"전세계 고객들의 말에 귀기울이기 위해서 미국, 영국, 호주, 인도, 사우디아라비아 등 다양한 나라의 친구들과 화상통화로 영어 의사소통 실력 또한 향상시켰습니다.",성공경험
"그 결과 맞춤형 교육과정으로 지역 내 공동훈련센터 성과 1위를 달성할 수 있었습니다.",성공경험
"한 달간의 노력 끝에 판매량은 조금씩 상승하기 시작했고, 기존 매출 대비 30%의 상승률까지 달성했습니다.",성공경험
"저는 유럽여행을 통해 주저 없이 기회를 잡을 수 있는 '도전적인 사람'으로 거듭났습니다.",성공경험
"비록 한 달 간의 짧은 여행이었지만 포기하고 싶은 상황에서도 저를 버티게 하는 도전정신과 목표의 중요성을 배울 수 있었습니다.",성공경험
"학교생활 중 평판측량 실습을 하며 문제 해결력과 협동심을 기르게 되었습니다.",성공경험
"평판측량 실습 이후로 다른 실습은 더욱 더 순조롭게 진행할 수 있었고, 이 실습으로 반복적으로 시도하며 완성도를 높여나가는 것과 조원들과 소통을 통해 단점을 보완해나가는 것의 중요성을 배우게 되었습니다.",성공경험
"저희는 실험도 성공적으로 마쳤고, 그 팀원의 활약으로 어려운 도표 정리도 쉽게 넘어갈 수 있었습니다.",성공경험
"학교생활 중 평판측량 실습을 하며 문제 해결력과 협동심을 기르게 되었습니다.",성공경험
"평판측량 실습 이후로 다른 실습은 더욱 더 순조롭게 진행할 수 있었고, 이 실습으로 반복적으로 시도하며 완성도를 높여나가는 것과 조원들과 소통을 통해 단점을 보완해나가는 것의 중요성을 배우게 되었습니다.",성공경험
"저희는 실험도 성공적으로 마쳤고, 그 팀원의 활약으로 어려운 도표 정리도 쉽게 넘어갈 수 있었습니다.",성공경험
"설계프로그램을 사용하여 도면작성 및 해독능력을 익혔고, 다양한 설계과목에서 팀 과제로 기초설계 수행을 통해 종합적인 판단 능력과 분석능력을 키웠습니다.",성공경험
"드론자작대회, 캡스톤디자인 등 다양한 프로젝트 활동을 통해 어려움에 봉착했을 때 책임의식을 가지고 문제를 해결할 수 있는 능력을 길렀습니다.",성공경험
"교내에서 배우는 회계원리, 회계정보처리시스템 과목에서 교과 우수상을 받았습니다.",성공경험
"전산회계 1급 자격증을 독학으로 공부하며 현금흐름 분석 및 경영성과와 재무 상태를 분석하는 역량을 기를 수 있었습니다.",성공경험
"고등학교 1학년 학교 축제 부스를 위한 작품이 모자랐을 때 POP 동아리의 부장으로서 책임감을 느끼고 문제를 해결한 적이 있습니다.",성공경험
"고등학교 2학년 때 학생 마라톤 대회 완주를 통해 함께의 중요성을 느꼈습니다.",성공경험
"분석 인턴을 하면서 온라인 인공지능 경진대회에 나가 상위 3위의 결과를 얻었습니다.",성공경험
"이후 박사님께 성실한 태도를 칭찬받아 압전 재료를 이용한 초음파 스피커 과제에 배정되어 실험 보조를 맡게 되었습니다.",성공경험
"노력 끝에 30bar, 60도에서 3시간이라는 최적의 접합 공정을 찾아 소자 간 오차를 줄였고, 90dB을 넘는 샘플을 제작하여 미팅에 활용하였습니다.",성공경험
"노력 끝에 최적의 도핑 공정을 설계하여 Rct를 낮추었고, 기존 LDH의 1721F/g 보다 향상된 3844F/g의 용량으로 SCI 논문을 게재하였습니다.",성공경험
"고교 시절 학업을 소홀히 하여 첫 수능에 실패하여 재수를 한 저는, 딱 1년만 눈감고 후회 없는 삶을 살아보기로 다짐을 한 후 하루도 빠짐없이 부족한 부분을 채워나간 결과, 다음 해의 수능 백분위 총합이 95%p가 증가했습니다.",성공경험
"교내 캡스톤 디자인 프로젝트 경진대회에서 40팀 중 5등을 하였으며, 심화 종합설계 프로젝트는 현재 특허 신청 중입니다.",성공경험
"팀원들과 소통과 협력을 바탕으로 한국생산관리학회에서 발표대회에서 2위 수상을 한 경험이 있습니다.",성공경험
